iter	RMSE
2652	61044.40323
2653	61041.63735
2654	61038.85808
2655	61030.5773
2656	61020.05099
2657	61009.46559
2658	61006.39412
2659	60994.91373
2660	60991.74043
2661	60984.34608
2662	60977.33791
2663	60969.86307
2664	60960.92919
2665	60958.11736
2666	60950.89163
2667	60942.80659
2668	60939.10181
2669	60930.8188
2670	60920.48235
2671	60917.10255
2672	60913.98755
2673	60904.965
2674	60894.9693
2675	60892.05203
2676	60883.78663
2677	60872.96169
2678	60865.54446
2679	60858.85458
2680	60853.17615
2681	60842.54924
2682	60836.13124
2683	60830.97606
2684	60821.79408
2685	60811.2747
2686	60802.93422
2687	60796.36875
2688	60789.96005
2689	60780.03422
2690	60768.74255
2691	60761.46067
2692	60754.70356
2693	60748.37169
2694	60737.16684
2695	60728.39704
2696	60724.70071
2697	60717.77695
2698	60710.46163
2699	60700.59688
2700	60694.11349
2701	60688.1147
2702	60680.83057
2703	60673.43394
2704	60662.37551
2705	60653.51696
2706	60646.37395
2707	60639.56652
2708	60630.62877
2709	60624.01826
2710	60612.69471
2711	60602.83603
2712	60594.94172
2713	60583.23878
2714	60576.3727
2715	60569.82627
2716	60561.80128
2717	60561.63474
2718	60557.91318
2719	60546.51938
2720	60540.17594
2721	60530.39439
2722	60519.75657
2723	60509.70473
2724	60500.16185
2725	60493.88193
2726	60486.85986
2727	60476.96849
2728	60469.40321
2729	60460.33034
2730	60453.56072
2731	60443.50267
2732	60437.47573
2733	60427.50981
2734	60427.37097
2735	60411.6144
2736	60407.77581
2737	60401.07247
2738	60385.15611
2739	60379.68537
2740	60368.62374
2741	60359.19248
2742	60352.5117
2743	60346.38855
2744	60338.57141
2745	60329.68689
2746	60329.54893
2747	60322.57181
2748	60311.60474
2749	60304.66862
2750	60294.28853
2751	60284.78196
2752	60276.17982
2753	60266.04269
2754	60250.05936
2755	60244.13606
2756	60233.92717
2757	60217.64317
2758	60212.54506
2759	60204.22059
2760	60196.20233
2761	60186.29797
2762	60173.57566
2763	60166.35699
2764	60155.83657
2765	60145.1365
2766	60137.24787
2767	60131.48048
2768	60123.02725
2769	60115.17928
2770	60099.22953
2771	60089.68515
2772	60082.93941
2773	60075.8897
2774	60070.50798
2775	60065.80834
2776	60050.98562
2777	60043.91326
2778	60035.95042
2779	60027.05734
2780	60018.3145
2781	60009.87796
2782	60002.43355
2783	59995.0698
2784	59985.45864
2785	59974.50426
2786	59968.3614
2787	59957.51377
2788	59948.75103
2789	59941.07153
2790	59935.06902
2791	59925.25747
2792	59911.02216
2793	59901.5115
2794	59894.54487
2795	59883.92307
2796	59872.42741
2797	59866.26436
2798	59857.03663
2799	59850.14931
2800	59841.19151
2801	59837.99442
2802	59828.32078
2803	59819.48405
2804	59812.145
2805	59811.98466
2806	59806.38689
2807	59799.70135
2808	59795.25183
2809	59788.0306
2810	59782.85318
2811	59773.02149
2812	59771.50154
2813	59763.35232
2814	59752.47599
2815	59743.13905
2816	59731.58638
2817	59723.73808
2818	59715.69782
2819	59709.51532
2820	59703.20663
2821	59696.43036
2822	59686.74537
2823	59680.08872
2824	59672.21679
2825	59663.40436
2826	59656.97189
2827	59642.43673
2828	59630.34192
2829	59619.59306
2830	59609.98423
2831	59600.7957
2832	59589.10964
2833	59584.01018
2834	59578.35935
2835	59573.8924
2836	59566.23308
2837	59557.40153
2838	59549.6491
2839	59535.90424
2840	59520.86204
2841	59512.33368
2842	59507.82835
2843	59500.29007
2844	59494.88434
2845	59485.37266
2846	59478.61106
2847	59468.28613
2848	59454.94012
2849	59447.88274
2850	59442.00613
2851	59435.01625
2852	59429.18473
2853	59418.00088
2854	59409.03401
2855	59394.34798
2856	59387.50241
2857	59379.75317
2858	59368.75866
2859	59355.33155
2860	59349.29379
2861	59341.03283
2862	59336.6649
2863	59323.35913
2864	59313.89816
2865	59311.52243
2866	59304.61377
2867	59297.65167
2868	59289.13202
2869	59283.94037
2870	59275.36514
2871	59266.49957
2872	59261.62954
2873	59252.35369
2874	59244.83026
2875	59234.53453
2876	59224.23656
2877	59212.62344
2878	59210.04094
2879	59199.93115
2880	59188.79117
2881	59185.97734
2882	59179.79637
2883	59173.27393
2884	59162.49452
2885	59152.21587
2886	59138.91744
2887	59130.6988
2888	59122.94437
2889	59114.56211
2890	59105.35168
2891	59095.18279
2892	59086.35123
2893	59081.63409
2894	59072.55363
2895	59061.66421
2896	59052.71555
2897	59042.91564
2898	59033.00788
2899	59028.56998
2900	59020.26327
2901	59012.75796
2902	59001.1627
2903	58991.99234
2904	58983.1666
2905	58977.22278
2906	58968.13423
2907	58959.2758
2908	58954.27256
2909	58948.23305
2910	58939.89404
2911	58928.49579
2912	58919.72708
2913	58912.68129
2914	58902.41926
2915	58893.8757
2916	58885.38689
2917	58879.65618
2918	58870.9566
2919	58862.29334
2920	58854.21582
2921	58844.72338
2922	58835.34891
2923	58828.92695
2924	58820.0738
2925	58812.74289
2926	58806.03497
2927	58799.66478
2928	58790.20559
2929	58780.13435
2930	58772.78432
2931	58764.71575
2932	58762.72472
2933	58752.34362
2934	58742.1349
2935	58733.96506
2936	58728.25041
